img_id,text,0,1,2,3,4,5,6,7,8,9
0.jpg,117T3989,0,1,0,1,0,0,0,1,1,1
1.jpg,128T8086,1,1,1,0,0,0,1,0,1,0
10.jpg,94T3458,0,0,0,1,1,1,0,0,1,1
100.jpg,133T6719,0,1,0,1,0,0,1,1,0,1
101.jpg,68T5979,0,0,0,0,0,1,1,1,1,1
102.jpg,106T2131,1,1,1,1,0,0,1,0,0,0
103.jpg,117T2600,1,1,1,0,0,0,1,1,0,0
104.jpg,58T8888,0,0,0,0,0,1,0,0,1,0
105.jpg,93T5599,0,0,0,1,0,1,0,0,0,1
106.jpg,155T1216,0,1,1,0,0,1,1,0,0,0
107.jpg,191T2827,0,1,1,0,0,0,0,1,1,1
108.jpg,127T9733,0,1,1,1,0,0,0,1,0,1
109.jpg,121T237,0,1,1,1,0,0,0,1,0,0
11.jpg,96T8557,0,0,0,0,0,1,1,1,1,1
110.jpg,172T9314,0,1,1,1,1,0,0,1,0,1
111.jpg,152T8269,0,1,1,0,0,1,1,0,1,1
112.jpg,127T9295,0,1,1,0,0,1,0,1,0,1
113.jpg,188T956,0,1,0,0,0,1,1,0,1,1
114.jpg,179T7121,0,1,1,0,0,0,0,1,0,1
115.jpg,169T9685,0,1,0,0,0,1,1,0,1,1
116.jpg,161T3230,1,1,1,1,0,0,1,0,0,0
117.jpg,74T3819,0,1,0,1,1,0,0,1,1,1
118.jpg,155T5259,0,1,1,0,0,1,0,0,0,1
119.jpg,137T5115,0,1,0,1,0,1,0,1,0,0
12.jpg,156T2325,0,1,1,1,0,1,1,0,0,0
120.jpg,169T9685,0,1,0,0,0,1,1,0,1,1
121.jpg,134T3970,1,1,0,1,1,0,0,1,0,1
122.jpg,120T5039,1,1,1,1,0,1,0,0,0,1
123.jpg,121T6559,0,1,1,0,0,1,1,0,0,1
124.jpg,145T5368,0,1,0,1,1,1,1,0,1,0
125.jpg,100T8109,1,1,0,0,0,0,0,0,1,1
126.jpg,118T5018,1,1,0,0,0,1,0,0,1,0
127.jpg,68T3759,0,0,0,1,0,1,1,1,1,1
128.jpg,190T413,1,1,0,1,1,0,0,0,0,1
129.jpg,125T5378,0,1,1,1,0,1,0,1,1,0
13.jpg,182T2759,0,1,1,0,0,1,0,1,1,1
130.jpg,165T6025,1,1,1,0,0,1,1,0,0,0
131.jpg,119T9133,0,1,0,1,0,0,0,0,0,1
132.jpg,66T5697,0,0,0,0,0,1,1,1,0,1
133.jpg,109T2328,1,1,1,1,0,0,0,0,1,1
134.jpg,84T1104,1,1,0,0,1,0,0,0,1,0
135.jpg,165T895,0,1,0,0,0,1,1,0,1,1
136.jpg,114T7304,1,1,0,1,1,0,0,1,0,0
137.jpg,37T3819,0,1,0,1,0,0,0,1,1,1
138.jpg,115T6064,1,1,0,0,1,1,1,0,0,0
139.jpg,98T5178,0,1,0,0,0,1,0,1,1,1
14.jpg,85T3827,0,0,1,1,0,1,0,1,1,0
140.jpg,112T6988,0,1,1,0,0,0,1,0,1,1
141.jpg,68T6341,0,1,0,1,1,0,1,0,1,0
142.jpg,90T4636,1,0,0,1,1,0,1,0,0,1
143.jpg,141T13,0,1,0,1,1,0,0,0,0,0
144.jpg,181T7519,0,1,0,0,0,1,0,1,1,1
145.jpg,106T9514,1,1,0,0,1,1,1,0,0,1
146.jpg,156T3853,0,1,0,1,0,1,1,0,1,0
147.jpg,159T7948,0,1,0,0,1,1,0,1,1,1
148.jpg,155T9278,0,1,1,0,0,1,0,1,1,1
149.jpg,191T9338,0,1,0,1,0,0,0,0,1,1
150.jpg,164T9653,0,1,0,1,1,1,1,0,0,1
151.jpg,148T2903,1,1,1,1,1,0,0,0,1,1
152.jpg,90T9848,1,0,0,0,1,0,0,0,1,1
153.jpg,87T9170,1,1,0,0,0,0,0,1,1,1
154.jpg,176T755,0,1,0,0,0,1,1,1,0,0
155.jpg,156T7524,0,1,1,0,1,1,1,1,0,0
156.jpg,168T1951,0,1,0,0,0,1,1,0,1,1
157.jpg,31T8115,0,1,0,1,0,1,0,0,1,0
158.jpg,193T4091,1,1,0,1,1,0,0,0,0,1
159.jpg,142T8217,0,1,1,0,1,0,0,1,1,0
16.jpg,159T3782,0,1,1,1,0,1,0,1,1,1
160.jpg,173T4951,0,1,0,1,1,1,0,1,0,1
161.jpg,136T2146,0,1,1,1,1,0,1,0,0,0
162.jpg,161T3015,1,1,0,1,0,1,1,0,0,0
163.jpg,194T735,0,1,0,1,1,1,0,1,0,1
164.jpg,123T3112,0,1,1,1,0,0,0,0,0,0
165.jpg,112T8576,0,1,1,0,0,1,1,1,1,0
166.jpg,70T652,1,0,1,0,0,1,1,1,0,0
167.jpg,140T566,1,1,0,0,1,1,1,0,0,0
168.jpg,89T3511,0,1,0,1,0,1,0,0,1,1
169.jpg,40T1901,1,1,0,0,1,0,0,0,0,1
17.jpg,195T2612,0,1,1,0,0,1,1,0,0,1
170.jpg,83T1812,0,1,1,1,0,0,0,0,1,0
171.jpg,181T2562,0,1,1,0,0,1,1,0,1,0
172.jpg,70T652,1,0,1,0,0,1,1,1,0,0
173.jpg,118T6637,0,1,0,1,0,0,1,1,1,0
174.jpg,194T558,0,1,0,0,1,1,0,0,1,1
175.jpg,175T7944,0,1,0,0,1,1,0,1,0,1
176.jpg,133T6719,0,1,0,1,0,0,1,1,0,1
